id,doc_number,staff_id,project_id,period,date,week_label,hours,bill_rate,cost_rate,billable_value,labor_cost
TS-2024-01-00014,TS-2024-0015,staff-professional-services-2,svc-sub-0-1,2024-01,2024-01-31,2024-01-W5,10.8,197.00,125.02,2126.25,1349.36
TS-2024-02-00015,TS-2024-0016,staff-professional-services-0,svc-sub-0-0,2024-02,2024-02-07,2024-02-W1,11.6,212.00,143.89,2453.10,1664.98
TS-2024-02-00016,TS-2024-0017,staff-professional-services-0,svc-sub-0-0,2024-02,2024-02-14,2024-02-W2,21.1,212.00,143.89,4472.49,3035.60
TS-2024-02-00017,TS-2024-0018,staff-professional-services-0,svc-sub-0-0,2024-02,2024-02-19,2024-02-W3,16.3,212.00,143.89,3456.18,2345.80
TS-2024-02-00018,TS-2024-0019,staff-professional-services-0,svc-sub-0-0,2024-02,2024-02-26,2024-02-W4,13.9,212.00,143.89,2945.99,1999.52
TS-2024-02-00019,TS-2024-0020,staff-professional-services-0,svc-sub-0-0,2024-02,2024-02-29,2024-02-W5,18,212.00,143.89,3822.96,2594.74
TS-2024-02-00020,TS-2024-0021,staff-professional-services-2,svc-sub-0-0,2024-02,2024-02-08,2024-02-W1,20.1,215.00,155.87,4321.38,3132.90
TS-2024-02-00021,TS-2024-0022,staff-professional-services-2,svc-sub-0-0,2024-02,2024-02-13,2024-02-W2,9.9,215.00,155.87,2124.60,1540.29
TS-2024-02-00022,TS-2024-0023,staff-professional-services-2,svc-sub-0-0,2024-02,2024-02-19,2024-02-W3,20,215.00,155.87,4307.08,3122.53
TS-2024-02-00023,TS-2024-0024,staff-professional-services-2,svc-sub-0-0,2024-02,2024-02-25,2024-02-W4,16.3,215.00,155.87,3506.20,2541.91
TS-2024-02-00024,TS-2024-0025,staff-professional-services-2,svc-sub-0-0,2024-02,2024-02-29,2024-02-W5,12,215.00,155.87,2590.02,1877.70
TS-2024-02-00025,TS-2024-0026,staff-professional-services-5,svc-sub-0-1,2024-02,2024-02-08,2024-02-W1,8.7,200.00,115.86,1741.27,1008.72
TS-2024-02-00026,TS-2024-0027,staff-professional-services-5,svc-sub-0-1,2024-02,2024-02-14,2024-02-W2,8.4,200.00,115.86,1685.57,976.45
TS-2024-02-00027,TS-2024-0028,staff-professional-services-5,svc-sub-0-1,2024-02,2024-02-19,2024-02-W3,11.5,200.00,115.86,2296.07,1330.11
TS-2024-02-00028,TS-2024-0029,staff-professional-services-5,svc-sub-0-1,2024-02,2024-02-26,2024-02-W4,6,200.00,115.86,1205.26,698.21
TS-2024-02-00029,TS-2024-0030,staff-professional-services-5,svc-sub-0-1,2024-02,2024-02-29,2024-02-W5,7.9,200.00,115.86,1571.83,910.56
TS-2024-03-00030,TS-2024-0031,staff-professional-services-2,svc-sub-0-0,2024-03,2024-03-07,2024-03-W1,11.3,217.00,152.54,2456.12,1726.53
TS-2024-03-00031,TS-2024-0032,staff-professional-services-2,svc-sub-0-0,2024-03,2024-03-14,2024-03-W2,18.1,217.00,152.54,3920.89,2756.19
TS-2024-03-00032,TS-2024-0033,staff-professional-services-2,svc-sub-0-0,2024-03,2024-03-20,2024-03-W3,12.3,217.00,152.54,2679.74,1883.72
TS-2024-03-00033,TS-2024-0034,staff-professional-services-2,svc-sub-0-0,2024-03,2024-03-25,2024-03-W4,19.8,217.00,152.54,4301.24,3023.55
TS-2024-03-00034,TS-2024-0035,staff-professional-services-2,svc-sub-0-0,2024-03,2024-03-31,2024-03-W5,18.2,217.00,152.54,3946.63,2774.28
TS-2024-03-00035,TS-2024-0036,staff-professional-services-1,svc-sub-0-0,2024-03,2024-03-08,2024-03-W1,10.1,205.00,149.88,2072.99,1515.61
TS-2024-03-00036,TS-2024-0037,staff-professional-services-1,svc-sub-0-0,2024-03,2024-03-13,2024-03-W2,21.1,205.00,149.88,4331.86,3167.12
TS-2024-03-00037,TS-2024-0038,staff-professional-services-1,svc-sub-0-0,2024-03,2024-03-19,2024-03-W3,16.8,205.00,149.88,3446.26,2519.64
TS-2024-03-00038,TS-2024-0039,staff-professional-services-1,svc-sub-0-0,2024-03,2024-03-26,2024-03-W4,14.2,205.00,149.88,2915.39,2131.51
TS-2024-03-00039,TS-2024-0040,staff-professional-services-1,svc-sub-0-0,2024-03,2024-03-31,2024-03-W5,19.2,205.00,149.88,3928.88,2872.49
TS-2024-03-00040,TS-2024-0041,staff-professional-services-4,svc-sub-2-1,2024-03,2024-03-07,2024-03-W1,19.8,226.00,146.87,4474.82,2908.04
TS-2024-03-00041,TS-2024-0042,staff-professional-services-4,svc-sub-2-1,2024-03,2024-03-14,2024-03-W2,26.4,226.00,146.87,5957.09,3871.32
TS-2024-03-00042,TS-2024-0043,staff-professional-services-4,svc-sub-2-1,2024-03,2024-03-19,2024-03-W3,14.6,226.00,146.87,3295.18,2141.43
TS-2024-03-00043,TS-2024-0044,staff-professional-services-4,svc-sub-2-1,2024-03,2024-03-25,2024-03-W4,14,226.00,146.87,3159.62,2053.33
TS-2024-03-00044,TS-2024-0045,staff-professional-services-4,svc-sub-2-1,2024-03,2024-03-31,2024-03-W5,24.4,226.00,146.87,5520.60,3587.66
TS-2024-03-00045,TS-2024-0046,staff-professional-services-3,svc-sub-2-1,2024-03,2024-03-07,2024-03-W1,16.4,225.00,141.36,3700.97,2325.20
TS-2024-03-00046,TS-2024-0047,staff-professional-services-3,svc-sub-2-1,2024-03,2024-03-13,2024-03-W2,14,225.00,141.36,3142.96,1974.62
TS-2024-03-00047,TS-2024-0048,staff-professional-services-3,svc-sub-2-1,2024-03,2024-03-19,2024-03-W3,11.9,225.00,141.36,2672.76,1679.21
TS-2024-03-00048,TS-2024-0049,staff-professional-services-3,svc-sub-2-1,2024-03,2024-03-26,2024-03-W4,14.1,225.00,141.36,3181.22,1998.65
TS-2024-03-00049,TS-2024-0050,staff-professional-services-3,svc-sub-2-1,2024-03,2024-03-31,2024-03-W5,18.4,225.00,141.36,4144.78,2604.03
TS-2024-04-00050,TS-2024-0051,staff-professional-services-5,svc-sub-0-0,2024-04,2024-04-08,2024-04-W1,12.4,202.00,148.81,2514.60,1852.46
TS-2024-04-00051,TS-2024-0052,staff-professional-services-5,svc-sub-0-0,2024-04,2024-04-14,2024-04-W2,12.5,202.00,148.81,2522.73,1858.45
TS-2024-04-00052,TS-2024-0053,staff-professional-services-5,svc-sub-0-0,2024-04,2024-04-20,2024-04-W3,18.4,202.00,148.81,3707.21,2731.04
TS-2024-04-00053,TS-2024-0054,staff-professional-services-5,svc-sub-0-0,2024-04,2024-04-25,2024-04-W4,19.5,202.00,148.81,3938.12,2901.15
TS-2024-04-00054,TS-2024-0055,staff-professional-services-5,svc-sub-0-0,2024-04,2024-04-30,2024-04-W5,17.9,202.00,148.81,3624.64,2670.21
TS-2024-04-00055,TS-2024-0056,staff-professional-services-1,svc-sub-0-0,2024-04,2024-04-08,2024-04-W1,11.1,204.00,147.36,2273.84,1642.52
TS-2024-04-00056,TS-2024-0057,staff-professional-services-1,svc-sub-0-0,2024-04,2024-04-14,2024-04-W2,21.6,204.00,147.36,4399.23,3177.80
TS-2024-04-00057,TS-2024-0058,staff-professional-services-1,svc-sub-0-0,2024-04,2024-04-20,2024-04-W3,13.3,204.00,147.36,2703.72,1953.04
TS-2024-04-00058,TS-2024-0059,staff-professional-services-1,svc-sub-0-0,2024-04,2024-04-25,2024-04-W4,17.2,204.00,147.36,3518.47,2541.58
TS-2024-04-00059,TS-2024-0060,staff-professional-services-1,svc-sub-0-0,2024-04,2024-04-30,2024-04-W5,23.5,204.00,147.36,4797.44,3465.44
TS-2024-04-00060,TS-2024-0061,staff-professional-services-3,svc-sub-2-1,2024-04,2024-04-07,2024-04-W1,18.4,228.00,148.95,4205.15,2747.18
TS-2024-04-00061,TS-2024-0062,staff-professional-services-3,svc-sub-2-1,2024-04,2024-04-14,2024-04-W2,13.9,228.00,148.95,3177.98,2076.14
TS-2024-04-00062,TS-2024-0063,staff-professional-services-3,svc-sub-2-1,2024-04,2024-04-19,2024-04-W3,14.6,228.00,148.95,3321.19,2169.70
TS-2024-04-00063,TS-2024-0064,staff-professional-services-3,svc-sub-2-1,2024-04,2024-04-25,2024-04-W4,19.7,228.00,148.95,4490.26,2933.44
TS-2024-04-00064,TS-2024-0065,staff-professional-services-3,svc-sub-2-1,2024-04,2024-04-30,2024-04-W5,20.4,228.00,148.95,4646.30,3035.38
TS-2024-04-00065,TS-2024-0066,staff-professional-services-4,svc-sub-2-1,2024-04,2024-04-08,2024-04-W1,16.8,215.00,136.12,3620.13,2291.96
TS-2024-04-00066,TS-2024-0067,staff-professional-services-4,svc-sub-2-1,2024-04,2024-04-14,2024-04-W2,13.2,215.00,136.12,2833.31,1793.81
TS-2024-04-00067,TS-2024-0068,staff-professional-services-4,svc-sub-2-1,2024-04,2024-04-20,2024-04-W3,21.9,215.00,136.12,4712.91,2983.82
TS-2024-04-00068,TS-2024-0069,staff-professional-services-4,svc-sub-2-1,2024-04,2024-04-26,2024-04-W4,18.2,215.00,136.12,3913.20,2477.51
TS-2024-04-00069,TS-2024-0070,staff-professional-services-4,svc-sub-2-1,2024-04,2024-04-30,2024-04-W5,20.1,215.00,136.12,4329.57,2741.12
TS-2024-04-00070,TS-2024-0071,staff-professional-services-2,svc-sub-3-0,2024-04,2024-04-08,2024-04-W1,23.7,176.00,106.44,4179.65,2527.74
TS-2024-04-00071,TS-2024-0072,staff-professional-services-2,svc-sub-3-0,2024-04,2024-04-14,2024-04-W2,20.1,176.00,106.44,3531.71,2135.88
TS-2024-04-00072,TS-2024-0073,staff-professional-services-2,svc-sub-3-0,2024-04,2024-04-20,2024-04-W3,31.7,176.00,106.44,5573.50,3370.70
TS-2024-04-00073,TS-2024-0074,staff-professional-services-2,svc-sub-3-0,2024-04,2024-04-25,2024-04-W4,16.5,176.00,106.44,2895.88,1751.35
TS-2024-04-00074,TS-2024-0075,staff-professional-services-2,svc-sub-3-0,2024-04,2024-04-30,2024-04-W5,18.7,176.00,106.44,3290.77,1990.17
TS-2024-04-00075,TS-2024-0076,staff-professional-services-0,svc-sub-3-0,2024-04,2024-04-08,2024-04-W1,17.5,181.00,110.63,3164.89,1934.43
TS-2024-04-00076,TS-2024-0077,staff-professional-services-0,svc-sub-3-0,2024-04,2024-04-14,2024-04-W2,28.5,181.00,110.63,5165.90,3157.48
TS-2024-04-00077,TS-2024-0078,staff-professional-services-0,svc-sub-3-0,2024-04,2024-04-20,2024-04-W3,34.7,181.00,110.63,6279.86,3838.35
TS-2024-04-00078,TS-2024-0079,staff-professional-services-0,svc-sub-3-0,2024-04,2024-04-25,2024-04-W4,15.4,181.00,110.63,2781.21,1699.92
TS-2024-04-00079,TS-2024-0080,staff-professional-services-0,svc-sub-3-0,2024-04,2024-04-30,2024-04-W5,25.6,181.00,110.63,4636.63,2833.98
TS-2024-05-00080,TS-2024-0081,staff-professional-services-1,svc-sub-2-1,2024-05,2024-05-07,2024-05-W1,12.2,221.00,141.68,2692.73,1726.27
TS-2024-05-00081,TS-2024-0082,staff-professional-services-1,svc-sub-2-1,2024-05,2024-05-13,2024-05-W2,14.4,221.00,141.68,3192.27,2046.52
TS-2024-05-00082,TS-2024-0083,staff-professional-services-1,svc-sub-2-1,2024-05,2024-05-20,2024-05-W3,19,221.00,141.68,4188.44,2685.15
TS-2024-05-00083,TS-2024-0084,staff-professional-services-1,svc-sub-2-1,2024-05,2024-05-25,2024-05-W4,20.8,221.00,141.68,4600.01,2949.00
TS-2024-05-00084,TS-2024-0085,staff-professional-services-1,svc-sub-2-1,2024-05,2024-05-31,2024-05-W5,16.2,221.00,141.68,3586.75,2299.42
TS-2024-05-00085,TS-2024-0086,staff-professional-services-6,svc-sub-2-1,2024-05,2024-05-08,2024-05-W1,13.4,211.00,132.76,2827.69,1779.17
TS-2024-05-00086,TS-2024-0087,staff-professional-services-6,svc-sub-2-1,2024-05,2024-05-13,2024-05-W2,23.6,211.00,132.76,4980.90,3133.95
TS-2024-05-00087,TS-2024-0088,staff-professional-services-6,svc-sub-2-1,2024-05,2024-05-20,2024-05-W3,22.6,211.00,132.76,4770.89,3001.82
TS-2024-05-00088,TS-2024-0089,staff-professional-services-6,svc-sub-2-1,2024-05,2024-05-25,2024-05-W4,19,211.00,132.76,3999.04,2516.17
TS-2024-05-00089,TS-2024-0090,staff-professional-services-6,svc-sub-2-1,2024-05,2024-05-31,2024-05-W5,20.9,211.00,132.76,4411.28,2775.55
TS-2024-05-00090,TS-2024-0091,staff-professional-services-2,svc-sub-3-0,2024-05,2024-05-08,2024-05-W1,30.3,175.00,108.89,5295.80,3295.20
TS-2024-05-00091,TS-2024-0092,staff-professional-services-2,svc-sub-3-0,2024-05,2024-05-13,2024-05-W2,27.4,175.00,108.89,4801.97,2987.92
TS-2024-05-00092,TS-2024-0093,staff-professional-services-2,svc-sub-3-0,2024-05,2024-05-20,2024-05-W3,31.5,175.00,108.89,5510.59,3428.85
TS-2024-05-00093,TS-2024-0094,staff-professional-services-2,svc-sub-3-0,2024-05,2024-05-25,2024-05-W4,28.5,175.00,108.89,4980.38,3098.93
TS-2024-05-00094,TS-2024-0095,staff-professional-services-2,svc-sub-3-0,2024-05,2024-05-31,2024-05-W5,21.9,175.00,108.89,3826.93,2381.23
TS-2024-05-00095,TS-2024-0096,staff-professional-services-0,svc-sub-3-0,2024-05,2024-05-08,2024-05-W1,15.3,176.00,116.55,2701.50,1788.98
TS-2024-05-00096,TS-2024-0097,staff-professional-services-0,svc-sub-3-0,2024-05,2024-05-14,2024-05-W2,25.1,176.00,116.55,4423.83,2929.53
TS-2024-05-00097,TS-2024-0098,staff-professional-services-0,svc-sub-3-0,2024-05,2024-05-20,2024-05-W3,19.7,176.00,116.55,3475.23,2301.35
TS-2024-05-00098,TS-2024-0099,staff-professional-services-0,svc-sub-3-0,2024-05,2024-05-26,2024-05-W4,17.5,176.00,116.55,3084.08,2042.33
TS-2024-05-00099,TS-2024-0100,staff-professional-services-0,svc-sub-3-0,2024-05,2024-05-31,2024-05-W5,19.3,176.00,116.55,3399.69,2251.33
TS-2024-05-00100,TS-2024-0101,staff-professional-services-3,svc-sub-4-0,2024-05,2024-05-07,2024-05-W1,9.2,183.00,106.80,1682.26,981.78
TS-2024-05-00101,TS-2024-0102,staff-professional-services-3,svc-sub-4-0,2024-05,2024-05-14,2024-05-W2,11.4,183.00,106.80,2083.37,1215.87
TS-2024-05-00102,TS-2024-0103,staff-professional-services-3,svc-sub-4-0,2024-05,2024-05-20,2024-05-W3,12.2,183.00,106.80,2229.71,1301.27
TS-2024-05-00103,TS-2024-0104,staff-professional-services-3,svc-sub-4-0,2024-05,2024-05-26,2024-05-W4,12.4,183.00,106.80,2261.86,1320.04
TS-2024-05-00104,TS-2024-0105,staff-professional-services-3,svc-sub-4-0,2024-05,2024-05-31,2024-05-W5,6.8,183.00,106.80,1242.80,725.31
TS-2024-05-00105,TS-2024-0106,staff-professional-services-5,svc-sub-4-1,2024-05,2024-05-07,2024-05-W1,28.9,197.00,144.05,5692.72,4162.62
TS-2024-05-00106,TS-2024-0107,staff-professional-services-5,svc-sub-4-1,2024-05,2024-05-13,2024-05-W2,28.7,197.00,144.05,5659.81,4138.56
TS-2024-05-00107,TS-2024-0108,staff-professional-services-5,svc-sub-4-1,2024-05,2024-05-19,2024-05-W3,22,197.00,144.05,4333.69,3168.87
TS-2024-05-00108,TS-2024-0109,staff-professional-services-5,svc-sub-4-1,2024-05,2024-05-25,2024-05-W4,18.5,197.00,144.05,3651.59,2670.11
TS-2024-05-00109,TS-2024-0110,staff-professional-services-5,svc-sub-4-1,2024-05,2024-05-31,2024-05-W5,16.1,197.00,144.05,3162.19,2312.25
TS-2024-05-00110,TS-2024-0111,staff-professional-services-4,svc-sub-4-2,2024-05,2024-05-07,2024-05-W1,6.7,199.00,135.92,1330.59,908.81
TS-2024-05-00111,TS-2024-0112,staff-professional-services-4,svc-sub-4-2,2024-05,2024-05-13,2024-05-W2,7.8,199.00,135.92,1552.77,1060.57
TS-2024-05-00112,TS-2024-0113,staff-professional-services-4,svc-sub-4-2,2024-05,2024-05-20,2024-05-W3,6.4,199.00,135.92,1281.91,875.56
TS-2024-05-00113,TS-2024-0114,staff-professional-services-4,svc-sub-4-2,2024-05,2024-05-26,2024-05-W4,9,199.00,135.92,1797.74,1227.88
TS-2024-05-00114,TS-2024-0115,staff-professional-services-4,svc-sub-4-2,2024-05,2024-05-31,2024-05-W5,7.7,199.00,135.92,1536.99,1049.79
TS-2024-06-00115,TS-2024-0116,staff-professional-services-3,svc-sub-2-1,2024-06,2024-06-07,2024-06-W1,11.7,216.00,145.50,2537.57,1709.34
TS-2024-06-00116,TS-2024-0117,staff-professional-services-3,svc-sub-2-1,2024-06,2024-06-14,2024-06-W2,14.8,216.00,145.50,3203.95,2158.22
TS-2024-06-00117,TS-2024-0118,staff-professional-services-3,svc-sub-2-1,2024-06,2024-06-19,2024-06-W3,25,216.00,145.50,5399.08,3636.88
TS-2024-06-00118,TS-2024-0119,staff-professional-services-3,svc-sub-2-1,2024-06,2024-06-25,2024-06-W4,15.3,216.00,145.50,3297.76,2221.41
TS-2024-06-00119,TS-2024-0120,staff-professional-services-3,svc-sub-2-1,2024-06,2024-06-30,2024-06-W5,24.3,216.00,145.50,5238.60,3528.78
TS-2024-06-00120,TS-2024-0121,staff-professional-services-1,svc-sub-2-1,2024-06,2024-06-08,2024-06-W1,24.2,222.00,140.36,5362.44,3390.41
TS-2024-06-00121,TS-2024-0122,staff-professional-services-1,svc-sub-2-1,2024-06,2024-06-14,2024-06-W2,14.4,222.00,140.36,3186.67,2014.78
TS-2024-06-00122,TS-2024-0123,staff-professional-services-1,svc-sub-2-1,2024-06,2024-06-20,2024-06-W3,12.7,222.00,140.36,2823.49,1785.16
TS-2024-06-00123,TS-2024-0124,staff-professional-services-1,svc-sub-2-1,2024-06,2024-06-26,2024-06-W4,23.3,222.00,140.36,5174.01,3271.28
TS-2024-06-00124,TS-2024-0125,staff-professional-services-1,svc-sub-2-1,2024-06,2024-06-30,2024-06-W5,13.6,222.00,140.36,3026.43,1913.47
TS-2024-06-00125,TS-2024-0126,staff-professional-services-6,svc-sub-3-0,2024-06,2024-06-07,2024-06-W1,18.1,183.00,110.32,3313.37,1997.44
TS-2024-06-00126,TS-2024-0127,staff-professional-services-6,svc-sub-3-0,2024-06,2024-06-14,2024-06-W2,16.9,183.00,110.32,3086.70,1860.79
TS-2024-06-00127,TS-2024-0128,staff-professional-services-6,svc-sub-3-0,2024-06,2024-06-20,2024-06-W3,26.7,183.00,110.32,4877.81,2940.55
TS-2024-06-00128,TS-2024-0129,staff-professional-services-6,svc-sub-3-0,2024-06,2024-06-25,2024-06-W4,19.4,183.00,110.32,3551.25,2140.84
TS-2024-06-00129,TS-2024-0130,staff-professional-services-6,svc-sub-3-0,2024-06,2024-06-30,2024-06-W5,14.3,183.00,110.32,2609.64,1573.20
TS-2024-06-00130,TS-2024-0131,staff-professional-services-5,svc-sub-3-0,2024-06,2024-06-07,2024-06-W1,28.4,189.00,118.19,5362.85,3353.63
TS-2024-06-00131,TS-2024-0132,staff-professional-services-5,svc-sub-3-0,2024-06,2024-06-13,2024-06-W2,15.6,189.00,118.19,2949.85,1844.67
TS-2024-06-00132,TS-2024-0133,staff-professional-services-5,svc-sub-3-0,2024-06,2024-06-19,2024-06-W3,29.1,189.00,118.19,5492.50,3434.70
TS-2024-06-00133,TS-2024-0134,staff-professional-services-5,svc-sub-3-0,2024-06,2024-06-25,2024-06-W4,25.9,189.00,118.19,4888.24,3056.83
TS-2024-06-00134,TS-2024-0135,staff-professional-services-5,svc-sub-3-0,2024-06,2024-06-30,2024-06-W5,28.4,189.00,118.19,5367.79,3356.71
TS-2024-06-00135,TS-2024-0136,staff-professional-services-2,svc-sub-4-0,2024-06,2024-06-07,2024-06-W1,11,181.00,104.40,1986.49,1145.80
TS-2024-06-00136,TS-2024-0137,staff-professional-services-2,svc-sub-4-0,2024-06,2024-06-14,2024-06-W2,9.1,181.00,104.40,1642.56,947.42
TS-2024-06-00137,TS-2024-0138,staff-professional-services-2,svc-sub-4-0,2024-06,2024-06-20,2024-06-W3,10.1,181.00,104.40,1824.08,1052.12
TS-2024-06-00138,TS-2024-0139,staff-professional-services-2,svc-sub-4-0,2024-06,2024-06-25,2024-06-W4,9,181.00,104.40,1634.29,942.65
TS-2024-06-00139,TS-2024-0140,staff-professional-services-2,svc-sub-4-0,2024-06,2024-06-30,2024-06-W5,13.3,181.00,104.40,2412.58,1391.57
TS-2024-06-00140,TS-2024-0141,staff-professional-services-4,svc-sub-4-1,2024-06,2024-06-08,2024-06-W1,32,186.00,126.81,5952.33,4058.14
TS-2024-06-00141,TS-2024-0142,staff-professional-services-4,svc-sub-4-1,2024-06,2024-06-13,2024-06-W2,32.1,186.00,126.81,5971.80,4071.42
TS-2024-06-00142,TS-2024-0143,staff-professional-services-4,svc-sub-4-1,2024-06,2024-06-19,2024-06-W3,17.9,186.00,126.81,3329.04,2269.65
TS-2024-06-00143,TS-2024-0144,staff-professional-services-4,svc-sub-4-1,2024-06,2024-06-25,2024-06-W4,19.4,186.00,126.81,3616.25,2465.47
TS-2024-06-00144,TS-2024-0145,staff-professional-services-4,svc-sub-4-1,2024-06,2024-06-30,2024-06-W5,19.5,186.00,126.81,3630.58,2475.24
TS-2024-06-00145,TS-2024-0146,staff-professional-services-0,svc-sub-4-2,2024-06,2024-06-08,2024-06-W1,7.3,197.00,134.30,1436.43,979.25
TS-2024-06-00146,TS-2024-0147,staff-professional-services-0,svc-sub-4-2,2024-06,2024-06-14,2024-06-W2,6.5,197.00,134.30,1286.51,877.05
TS-2024-06-00147,TS-2024-0148,staff-professional-services-0,svc-sub-4-2,2024-06,2024-06-19,2024-06-W3,6.1,197.00,134.30,1199.99,818.06
TS-2024-06-00148,TS-2024-0149,staff-professional-services-0,svc-sub-4-2,2024-06,2024-06-26,2024-06-W4,8.5,197.00,134.30,1677.62,1143.68
TS-2024-06-00149,TS-2024-0150,staff-professional-services-0,svc-sub-4-2,2024-06,2024-06-30,2024-06-W5,9.6,197.00,134.30,1899.45,1294.90
TS-2024-06-00150,TS-2024-0151,staff-professional-services-0,svc-sub-5-1,2024-06,2024-06-08,2024-06-W1,8.8,196.00,132.56,1723.43,1165.60
TS-2024-06-00151,TS-2024-0152,staff-professional-services-0,svc-sub-5-1,2024-06,2024-06-14,2024-06-W2,6.4,196.00,132.56,1260.90,852.78
TS-2024-06-00152,TS-2024-0153,staff-professional-services-0,svc-sub-5-1,2024-06,2024-06-19,2024-06-W3,11.6,196.00,132.56,2264.48,1531.53
TS-2024-06-00153,TS-2024-0154,staff-professional-services-0,svc-sub-5-1,2024-06,2024-06-26,2024-06-W4,7.2,196.00,132.56,1418.81,959.58
TS-2024-06-00154,TS-2024-0155,staff-professional-services-0,svc-sub-5-1,2024-06,2024-06-30,2024-06-W5,6.8,196.00,132.56,1332.38,901.12
TS-2024-06-00155,TS-2024-0156,staff-professional-services-2,svc-sub-5-2,2024-06,2024-06-08,2024-06-W1,7,212.00,133.01,1491.14,935.55
TS-2024-06-00156,TS-2024-0157,staff-professional-services-2,svc-sub-5-2,2024-06,2024-06-13,2024-06-W2,5.1,212.00,133.01,1073.50,673.52
TS-2024-06-00157,TS-2024-0158,staff-professional-services-2,svc-sub-5-2,2024-06,2024-06-19,2024-06-W3,6.7,212.00,133.01,1411.13,885.35
TS-2024-06-00158,TS-2024-0159,staff-professional-services-2,svc-sub-5-2,2024-06,2024-06-26,2024-06-W4,6.3,212.00,133.01,1339.10,840.16
TS-2024-06-00159,TS-2024-0160,staff-professional-services-2,svc-sub-5-2,2024-06,2024-06-30,2024-06-W5,3.2,212.00,133.01,685.13,429.85
TS-2024-07-00160,TS-2024-0161,staff-professional-services-4,svc-sub-3-0,2024-07,2024-07-08,2024-07-W1,19.8,187.00,120.39,3693.72,2378.01
TS-2024-07-00161,TS-2024-0162,staff-professional-services-4,svc-sub-3-0,2024-07,2024-07-13,2024-07-W2,16.8,187.00,120.39,3148.07,2026.72
TS-2024-07-00162,TS-2024-0163,staff-professional-services-4,svc-sub-3-0,2024-07,2024-07-20,2024-07-W3,19.8,187.00,120.39,3711.69,2389.57
TS-2024-07-00163,TS-2024-0164,staff-professional-services-4,svc-sub-3-0,2024-07,2024-07-26,2024-07-W4,13.9,187.00,120.39,2605.68,1677.53
TS-2024-07-00164,TS-2024-0165,staff-professional-services-4,svc-sub-3-0,2024-07,2024-07-31,2024-07-W5,27.5,187.00,120.39,5139.88,3309.04
TS-2024-07-00165,TS-2024-0166,staff-professional-services-5,svc-sub-3-0,2024-07,2024-07-07,2024-07-W1,26.5,178.00,120.14,4710.63,3179.41
TS-2024-07-00166,TS-2024-0167,staff-professional-services-5,svc-sub-3-0,2024-07,2024-07-13,2024-07-W2,23.6,178.00,120.14,4198.23,2833.57
TS-2024-07-00167,TS-2024-0168,staff-professional-services-5,svc-sub-3-0,2024-07,2024-07-19,2024-07-W3,33.8,178.00,120.14,6022.81,4065.06
TS-2024-07-00168,TS-2024-0169,staff-professional-services-5,svc-sub-3-0,2024-07,2024-07-26,2024-07-W4,16.7,178.00,120.14,2977.62,2009.73
TS-2024-07-00169,TS-2024-0170,staff-professional-services-5,svc-sub-3-0,2024-07,2024-07-31,2024-07-W5,29.7,178.00,120.14,5291.67,3571.58
