id,doc_number,staff_id,period,period_label,date,gross_pay,employee_taxes,benefits,net_pay
PC-2025-12-0047,PAY-2025-0024,staff-professional-services-0,2025-12,2025-12 2nd half,2025-12-31,14158.80,3603.41,1246.01,9309.38
PC-2026-01-0048,PAY-2026-0001,staff-professional-services-0,2026-01,2026-01 1st half,2026-01-15,9158.97,2898.82,806.01,5454.14
PC-2026-01-0049,PAY-2026-0002,staff-professional-services-0,2026-01,2026-01 2nd half,2026-01-31,9158.98,2898.83,806.02,5454.13
PC-2026-02-0050,PAY-2026-0003,staff-professional-services-0,2026-02,2026-02 1st half,2026-02-15,9158.97,2898.82,806.01,5454.14
PC-2026-02-0051,PAY-2026-0004,staff-professional-services-0,2026-02,2026-02 2nd half,2026-02-28,9158.98,2898.83,806.02,5454.13
PC-2026-03-0052,PAY-2026-0005,staff-professional-services-0,2026-03,2026-03 1st half,2026-03-15,9158.97,2898.82,806.01,5454.14
PC-2026-03-0053,PAY-2026-0006,staff-professional-services-0,2026-03,2026-03 2nd half,2026-03-31,9158.98,2898.83,806.02,5454.13
PC-2026-04-0054,PAY-2026-0007,staff-professional-services-0,2026-04,2026-04 1st half,2026-04-15,9158.97,2898.82,806.01,5454.14
PC-2026-04-0055,PAY-2026-0008,staff-professional-services-0,2026-04,2026-04 2nd half,2026-04-30,9158.98,2898.83,806.02,5454.13
PC-2026-05-0056,PAY-2026-0009,staff-professional-services-0,2026-05,2026-05 1st half,2026-05-15,9158.97,2898.82,806.01,5454.14
PC-2026-05-0057,PAY-2026-0010,staff-professional-services-0,2026-05,2026-05 2nd half,2026-05-31,9158.98,2898.83,806.02,5454.13
PC-2026-06-0058,PAY-2026-0011,staff-professional-services-0,2026-06,2026-06 1st half,2026-06-15,9158.97,2898.82,806.01,5454.14
PC-2026-06-0059,PAY-2026-0012,staff-professional-services-0,2026-06,2026-06 2nd half,2026-06-30,9158.98,2898.83,806.02,5454.13
PC-2026-07-0060,PAY-2026-0013,staff-professional-services-0,2026-07,2026-07 1st half,2026-07-15,9158.97,2898.82,806.01,5454.14
PC-2026-07-0061,PAY-2026-0014,staff-professional-services-0,2026-07,2026-07 2nd half,2026-07-31,9158.98,2898.83,806.02,5454.13
PC-2026-08-0062,PAY-2026-0015,staff-professional-services-0,2026-08,2026-08 1st half,2026-08-15,9158.97,2898.82,806.01,5454.14
PC-2026-08-0063,PAY-2026-0016,staff-professional-services-0,2026-08,2026-08 2nd half,2026-08-31,9158.98,2898.83,806.02,5454.13
PC-2026-09-0064,PAY-2026-0017,staff-professional-services-0,2026-09,2026-09 1st half,2026-09-15,9158.97,2898.82,806.01,5454.14
PC-2026-09-0065,PAY-2026-0018,staff-professional-services-0,2026-09,2026-09 2nd half,2026-09-30,9158.98,2898.83,806.02,5454.13
PC-2026-10-0066,PAY-2026-0019,staff-professional-services-0,2026-10,2026-10 1st half,2026-10-15,9158.97,2562.74,806.01,5790.22
PC-2026-10-0067,PAY-2026-0020,staff-professional-services-0,2026-10,2026-10 2nd half,2026-10-31,9158.98,2330.97,806.02,6021.99
PC-2026-11-0068,PAY-2026-0021,staff-professional-services-0,2026-11,2026-11 1st half,2026-11-15,9158.97,2330.96,806.01,6022.00
PC-2026-11-0069,PAY-2026-0022,staff-professional-services-0,2026-11,2026-11 2nd half,2026-11-30,9158.98,2330.97,806.02,6021.99
PC-2026-12-0070,PAY-2026-0023,staff-professional-services-0,2026-12,2026-12 1st half,2026-12-15,14654.36,3729.54,1289.62,9635.20
PC-2026-12-0071,PAY-2026-0024,staff-professional-services-0,2026-12,2026-12 2nd half,2026-12-31,14654.36,3729.54,1289.62,9635.20
PC-2024-01-0072,PAY-2024-0025,staff-professional-services-1,2024-01,2024-01 1st half,2024-01-15,3508.33,689.39,254.02,2564.92
PC-2024-01-0073,PAY-2024-0026,staff-professional-services-1,2024-01,2024-01 2nd half,2024-01-31,3508.34,689.39,254.03,2564.92
PC-2024-02-0074,PAY-2024-0027,staff-professional-services-1,2024-02,2024-02 1st half,2024-02-15,3508.33,689.39,254.02,2564.92
PC-2024-02-0075,PAY-2024-0028,staff-professional-services-1,2024-02,2024-02 2nd half,2024-02-29,3508.34,689.39,254.03,2564.92
PC-2024-03-0076,PAY-2024-0029,staff-professional-services-1,2024-03,2024-03 1st half,2024-03-15,3508.33,689.39,254.02,2564.92
PC-2024-03-0077,PAY-2024-0030,staff-professional-services-1,2024-03,2024-03 2nd half,2024-03-31,3508.34,689.39,254.03,2564.92
PC-2024-04-0078,PAY-2024-0031,staff-professional-services-1,2024-04,2024-04 1st half,2024-04-15,3508.33,689.39,254.02,2564.92
PC-2024-04-0079,PAY-2024-0032,staff-professional-services-1,2024-04,2024-04 2nd half,2024-04-30,3508.34,689.39,254.03,2564.92
PC-2024-05-0080,PAY-2024-0033,staff-professional-services-1,2024-05,2024-05 1st half,2024-05-15,3508.33,689.39,254.02,2564.92
PC-2024-05-0081,PAY-2024-0034,staff-professional-services-1,2024-05,2024-05 2nd half,2024-05-31,3508.34,689.39,254.03,2564.92
PC-2024-06-0082,PAY-2024-0035,staff-professional-services-1,2024-06,2024-06 1st half,2024-06-15,3508.33,689.39,254.02,2564.92
PC-2024-06-0083,PAY-2024-0036,staff-professional-services-1,2024-06,2024-06 2nd half,2024-06-30,3508.34,689.39,254.03,2564.92
PC-2024-07-0084,PAY-2024-0037,staff-professional-services-1,2024-07,2024-07 1st half,2024-07-15,3508.33,689.39,254.02,2564.92
PC-2024-07-0085,PAY-2024-0038,staff-professional-services-1,2024-07,2024-07 2nd half,2024-07-31,3508.34,689.39,254.03,2564.92
PC-2024-08-0086,PAY-2024-0039,staff-professional-services-1,2024-08,2024-08 1st half,2024-08-15,3508.33,689.39,254.02,2564.92
PC-2024-08-0087,PAY-2024-0040,staff-professional-services-1,2024-08,2024-08 2nd half,2024-08-31,3508.34,689.39,254.03,2564.92
PC-2024-09-0088,PAY-2024-0041,staff-professional-services-1,2024-09,2024-09 1st half,2024-09-15,3508.33,689.39,254.02,2564.92
PC-2024-09-0089,PAY-2024-0042,staff-professional-services-1,2024-09,2024-09 2nd half,2024-09-30,3508.34,689.39,254.03,2564.92
PC-2024-10-0090,PAY-2024-0043,staff-professional-services-1,2024-10,2024-10 1st half,2024-10-15,3508.33,689.39,254.02,2564.92
PC-2024-10-0091,PAY-2024-0044,staff-professional-services-1,2024-10,2024-10 2nd half,2024-10-31,3508.34,689.39,254.03,2564.92
PC-2024-11-0092,PAY-2024-0045,staff-professional-services-1,2024-11,2024-11 1st half,2024-11-15,3508.33,689.39,254.02,2564.92
PC-2024-11-0093,PAY-2024-0046,staff-professional-services-1,2024-11,2024-11 2nd half,2024-11-30,3508.34,689.39,254.03,2564.92
PC-2024-12-0094,PAY-2024-0047,staff-professional-services-1,2024-12,2024-12 1st half,2024-12-15,5613.33,1103.02,406.44,4103.87
PC-2024-12-0095,PAY-2024-0048,staff-professional-services-1,2024-12,2024-12 2nd half,2024-12-31,5613.34,1103.02,406.44,4103.88
PC-2025-01-0096,PAY-2025-0025,staff-professional-services-1,2025-01,2025-01 1st half,2025-01-15,3631.13,713.52,262.92,2654.69
PC-2025-01-0097,PAY-2025-0026,staff-professional-services-1,2025-01,2025-01 2nd half,2025-01-31,3631.12,713.51,262.92,2654.69
PC-2025-02-0098,PAY-2025-0027,staff-professional-services-1,2025-02,2025-02 1st half,2025-02-15,3631.13,713.52,262.92,2654.69
PC-2025-02-0099,PAY-2025-0028,staff-professional-services-1,2025-02,2025-02 2nd half,2025-02-28,3631.12,713.51,262.92,2654.69
PC-2025-03-0100,PAY-2025-0029,staff-professional-services-1,2025-03,2025-03 1st half,2025-03-15,3631.13,713.52,262.92,2654.69
PC-2025-03-0101,PAY-2025-0030,staff-professional-services-1,2025-03,2025-03 2nd half,2025-03-31,3631.12,713.51,262.92,2654.69
PC-2025-04-0102,PAY-2025-0031,staff-professional-services-1,2025-04,2025-04 1st half,2025-04-15,3631.13,713.52,262.92,2654.69
PC-2025-04-0103,PAY-2025-0032,staff-professional-services-1,2025-04,2025-04 2nd half,2025-04-30,3631.12,713.51,262.92,2654.69
PC-2024-01-0104,PAY-2024-0049,staff-professional-services-2,2024-01,2024-01 1st half,2024-01-15,4883.33,1447.91,416.56,3018.86
PC-2024-01-0105,PAY-2024-0050,staff-professional-services-2,2024-01,2024-01 2nd half,2024-01-31,4883.34,1447.91,416.56,3018.87
PC-2024-02-0106,PAY-2024-0051,staff-professional-services-2,2024-02,2024-02 1st half,2024-02-15,4883.33,1447.91,416.56,3018.86
PC-2024-02-0107,PAY-2024-0052,staff-professional-services-2,2024-02,2024-02 2nd half,2024-02-29,4883.34,1447.91,416.56,3018.87
PC-2024-03-0108,PAY-2024-0053,staff-professional-services-2,2024-03,2024-03 1st half,2024-03-15,4883.33,1447.91,416.56,3018.86
PC-2024-03-0109,PAY-2024-0054,staff-professional-services-2,2024-03,2024-03 2nd half,2024-03-31,4883.34,1447.91,416.56,3018.87
PC-2024-04-0110,PAY-2024-0055,staff-professional-services-2,2024-04,2024-04 1st half,2024-04-15,4883.33,1447.91,416.56,3018.86
PC-2024-04-0111,PAY-2024-0056,staff-professional-services-2,2024-04,2024-04 2nd half,2024-04-30,4883.34,1447.91,416.56,3018.87
PC-2024-05-0112,PAY-2024-0057,staff-professional-services-2,2024-05,2024-05 1st half,2024-05-15,4883.33,1447.91,416.56,3018.86
PC-2024-05-0113,PAY-2024-0058,staff-professional-services-2,2024-05,2024-05 2nd half,2024-05-31,4883.34,1447.91,416.56,3018.87
PC-2024-06-0114,PAY-2024-0059,staff-professional-services-2,2024-06,2024-06 1st half,2024-06-15,4883.33,1447.91,416.56,3018.86
PC-2024-06-0115,PAY-2024-0060,staff-professional-services-2,2024-06,2024-06 2nd half,2024-06-30,4883.34,1447.91,416.56,3018.87
PC-2024-07-0116,PAY-2024-0061,staff-professional-services-2,2024-07,2024-07 1st half,2024-07-15,4883.33,1447.91,416.56,3018.86
PC-2024-07-0117,PAY-2024-0062,staff-professional-services-2,2024-07,2024-07 2nd half,2024-07-31,4883.34,1447.91,416.56,3018.87
PC-2024-08-0118,PAY-2024-0063,staff-professional-services-2,2024-08,2024-08 1st half,2024-08-15,4883.33,1447.91,416.56,3018.86
PC-2024-08-0119,PAY-2024-0064,staff-professional-services-2,2024-08,2024-08 2nd half,2024-08-31,4883.34,1447.91,416.56,3018.87
PC-2024-09-0120,PAY-2024-0065,staff-professional-services-2,2024-09,2024-09 1st half,2024-09-15,4883.33,1447.91,416.56,3018.86
PC-2024-09-0121,PAY-2024-0066,staff-professional-services-2,2024-09,2024-09 2nd half,2024-09-30,4883.34,1447.91,416.56,3018.87
PC-2024-10-0122,PAY-2024-0067,staff-professional-services-2,2024-10,2024-10 1st half,2024-10-15,4883.33,1447.91,416.56,3018.86
PC-2024-10-0123,PAY-2024-0068,staff-professional-services-2,2024-10,2024-10 2nd half,2024-10-31,4883.34,1447.91,416.56,3018.87
PC-2024-11-0124,PAY-2024-0069,staff-professional-services-2,2024-11,2024-11 1st half,2024-11-15,4883.33,1447.91,416.56,3018.86
PC-2024-11-0125,PAY-2024-0070,staff-professional-services-2,2024-11,2024-11 2nd half,2024-11-30,4883.34,1447.91,416.56,3018.87
PC-2024-12-0126,PAY-2024-0071,staff-professional-services-2,2024-12,2024-12 1st half,2024-12-15,7813.33,2316.65,666.49,4830.19
PC-2024-12-0127,PAY-2024-0072,staff-professional-services-2,2024-12,2024-12 2nd half,2024-12-31,7813.34,2316.65,666.49,4830.20
PC-2025-01-0128,PAY-2025-0033,staff-professional-services-2,2025-01,2025-01 1st half,2025-01-15,5054.25,1498.59,431.14,3124.52
PC-2025-01-0129,PAY-2025-0034,staff-professional-services-2,2025-01,2025-01 2nd half,2025-01-31,5054.25,1498.59,431.14,3124.52
PC-2025-02-0130,PAY-2025-0035,staff-professional-services-2,2025-02,2025-02 1st half,2025-02-15,5054.25,1498.59,431.14,3124.52
PC-2025-02-0131,PAY-2025-0036,staff-professional-services-2,2025-02,2025-02 2nd half,2025-02-28,5054.25,1498.59,431.14,3124.52
PC-2025-03-0132,PAY-2025-0037,staff-professional-services-2,2025-03,2025-03 1st half,2025-03-15,5054.25,1498.59,431.14,3124.52
PC-2025-03-0133,PAY-2025-0038,staff-professional-services-2,2025-03,2025-03 2nd half,2025-03-31,5054.25,1498.59,431.14,3124.52
PC-2025-04-0134,PAY-2025-0039,staff-professional-services-2,2025-04,2025-04 1st half,2025-04-15,5054.25,1498.59,431.14,3124.52
PC-2025-04-0135,PAY-2025-0040,staff-professional-services-2,2025-04,2025-04 2nd half,2025-04-30,5054.25,1498.59,431.14,3124.52
PC-2025-05-0136,PAY-2025-0041,staff-professional-services-2,2025-05,2025-05 1st half,2025-05-15,5054.25,1498.59,431.14,3124.52
PC-2025-05-0137,PAY-2025-0042,staff-professional-services-2,2025-05,2025-05 2nd half,2025-05-31,5054.25,1498.59,431.14,3124.52
PC-2025-06-0138,PAY-2025-0043,staff-professional-services-2,2025-06,2025-06 1st half,2025-06-15,5054.25,1498.59,431.14,3124.52
PC-2025-06-0139,PAY-2025-0044,staff-professional-services-2,2025-06,2025-06 2nd half,2025-06-30,5054.25,1498.59,431.14,3124.52
PC-2025-07-0140,PAY-2025-0045,staff-professional-services-2,2025-07,2025-07 1st half,2025-07-15,5054.25,1498.59,431.14,3124.52
PC-2025-07-0141,PAY-2025-0046,staff-professional-services-2,2025-07,2025-07 2nd half,2025-07-31,5054.25,1498.59,431.14,3124.52
PC-2025-08-0142,PAY-2025-0047,staff-professional-services-2,2025-08,2025-08 1st half,2025-08-15,5054.25,1498.59,431.14,3124.52
PC-2025-08-0143,PAY-2025-0048,staff-professional-services-2,2025-08,2025-08 2nd half,2025-08-31,5054.25,1498.59,431.14,3124.52
PC-2025-09-0144,PAY-2025-0049,staff-professional-services-2,2025-09,2025-09 1st half,2025-09-15,5054.25,1498.59,431.14,3124.52
PC-2025-09-0145,PAY-2025-0050,staff-professional-services-2,2025-09,2025-09 2nd half,2025-09-30,5054.25,1498.59,431.14,3124.52
PC-2025-10-0146,PAY-2025-0051,staff-professional-services-2,2025-10,2025-10 1st half,2025-10-15,5054.25,1498.59,431.14,3124.52
PC-2025-10-0147,PAY-2025-0052,staff-professional-services-2,2025-10,2025-10 2nd half,2025-10-31,5054.25,1498.59,431.14,3124.52
PC-2025-11-0148,PAY-2025-0053,staff-professional-services-2,2025-11,2025-11 1st half,2025-11-15,5054.25,1498.59,431.14,3124.52
PC-2025-11-0149,PAY-2025-0054,staff-professional-services-2,2025-11,2025-11 2nd half,2025-11-30,5054.25,1498.59,431.14,3124.52
PC-2025-12-0150,PAY-2025-0055,staff-professional-services-2,2025-12,2025-12 1st half,2025-12-15,8086.80,2397.74,689.82,4999.24
PC-2025-12-0151,PAY-2025-0056,staff-professional-services-2,2025-12,2025-12 2nd half,2025-12-31,8086.80,2397.74,689.82,4999.24
PC-2026-01-0152,PAY-2026-0025,staff-professional-services-2,2026-01,2026-01 1st half,2026-01-15,5231.15,1551.03,446.23,3233.89
PC-2026-01-0153,PAY-2026-0026,staff-professional-services-2,2026-01,2026-01 2nd half,2026-01-31,5231.15,1551.03,446.23,3233.89
PC-2026-02-0154,PAY-2026-0027,staff-professional-services-2,2026-02,2026-02 1st half,2026-02-15,5231.15,1551.03,446.23,3233.89
PC-2026-02-0155,PAY-2026-0028,staff-professional-services-2,2026-02,2026-02 2nd half,2026-02-28,5231.15,1551.03,446.23,3233.89
PC-2026-03-0156,PAY-2026-0029,staff-professional-services-2,2026-03,2026-03 1st half,2026-03-15,5231.15,1551.03,446.23,3233.89
PC-2026-03-0157,PAY-2026-0030,staff-professional-services-2,2026-03,2026-03 2nd half,2026-03-31,5231.15,1551.03,446.23,3233.89
PC-2026-04-0158,PAY-2026-0031,staff-professional-services-2,2026-04,2026-04 1st half,2026-04-15,5231.15,1551.03,446.23,3233.89
PC-2026-04-0159,PAY-2026-0032,staff-professional-services-2,2026-04,2026-04 2nd half,2026-04-30,5231.15,1551.03,446.23,3233.89
PC-2026-05-0160,PAY-2026-0033,staff-professional-services-2,2026-05,2026-05 1st half,2026-05-15,5231.15,1551.03,446.23,3233.89
PC-2026-05-0161,PAY-2026-0034,staff-professional-services-2,2026-05,2026-05 2nd half,2026-05-31,5231.15,1551.03,446.23,3233.89
PC-2026-06-0162,PAY-2026-0035,staff-professional-services-2,2026-06,2026-06 1st half,2026-06-15,5231.15,1551.03,446.23,3233.89
PC-2026-06-0163,PAY-2026-0036,staff-professional-services-2,2026-06,2026-06 2nd half,2026-06-30,5231.15,1551.03,446.23,3233.89
PC-2026-07-0164,PAY-2026-0037,staff-professional-services-2,2026-07,2026-07 1st half,2026-07-15,5231.15,1551.03,446.23,3233.89
PC-2026-07-0165,PAY-2026-0038,staff-professional-services-2,2026-07,2026-07 2nd half,2026-07-31,5231.15,1551.03,446.23,3233.89
PC-2026-08-0166,PAY-2026-0039,staff-professional-services-2,2026-08,2026-08 1st half,2026-08-15,5231.15,1551.03,446.23,3233.89
PC-2026-08-0167,PAY-2026-0040,staff-professional-services-2,2026-08,2026-08 2nd half,2026-08-31,5231.15,1551.03,446.23,3233.89
PC-2026-09-0168,PAY-2026-0041,staff-professional-services-2,2026-09,2026-09 1st half,2026-09-15,5231.15,1551.03,446.23,3233.89
PC-2026-09-0169,PAY-2026-0042,staff-professional-services-2,2026-09,2026-09 2nd half,2026-09-30,5231.15,1551.03,446.23,3233.89
PC-2026-10-0170,PAY-2026-0043,staff-professional-services-2,2026-10,2026-10 1st half,2026-10-15,5231.15,1551.03,446.23,3233.89
PC-2026-10-0171,PAY-2026-0044,staff-professional-services-2,2026-10,2026-10 2nd half,2026-10-31,5231.15,1551.03,446.23,3233.89
PC-2026-11-0172,PAY-2026-0045,staff-professional-services-2,2026-11,2026-11 1st half,2026-11-15,5231.15,1551.03,446.23,3233.89
PC-2026-11-0173,PAY-2026-0046,staff-professional-services-2,2026-11,2026-11 2nd half,2026-11-30,5231.15,1551.03,446.23,3233.89
PC-2026-12-0174,PAY-2026-0047,staff-professional-services-2,2026-12,2026-12 1st half,2026-12-15,8369.84,2481.65,713.96,5174.23
PC-2026-12-0175,PAY-2026-0048,staff-professional-services-2,2026-12,2026-12 2nd half,2026-12-31,8369.84,2481.65,713.96,5174.23
PC-2024-01-0176,PAY-2024-0073,staff-professional-services-3,2024-01,2024-01 1st half,2024-01-15,3004.17,590.32,212.73,2201.12
PC-2024-01-0177,PAY-2024-0074,staff-professional-services-3,2024-01,2024-01 2nd half,2024-01-31,3004.16,590.32,212.73,2201.11
PC-2024-02-0178,PAY-2024-0075,staff-professional-services-3,2024-02,2024-02 1st half,2024-02-15,3004.17,590.32,212.73,2201.12
PC-2024-02-0179,PAY-2024-0076,staff-professional-services-3,2024-02,2024-02 2nd half,2024-02-29,3004.16,590.32,212.73,2201.11
PC-2024-03-0180,PAY-2024-0077,staff-professional-services-3,2024-03,2024-03 1st half,2024-03-15,3004.17,590.32,212.73,2201.12
PC-2024-03-0181,PAY-2024-0078,staff-professional-services-3,2024-03,2024-03 2nd half,2024-03-31,3004.16,590.32,212.73,2201.11
PC-2024-04-0182,PAY-2024-0079,staff-professional-services-3,2024-04,2024-04 1st half,2024-04-15,3004.17,590.32,212.73,2201.12
PC-2024-04-0183,PAY-2024-0080,staff-professional-services-3,2024-04,2024-04 2nd half,2024-04-30,3004.16,590.32,212.73,2201.11
PC-2024-05-0184,PAY-2024-0081,staff-professional-services-3,2024-05,2024-05 1st half,2024-05-15,3004.17,590.32,212.73,2201.12
PC-2024-05-0185,PAY-2024-0082,staff-professional-services-3,2024-05,2024-05 2nd half,2024-05-31,3004.16,590.32,212.73,2201.11
PC-2024-06-0186,PAY-2024-0083,staff-professional-services-3,2024-06,2024-06 1st half,2024-06-15,3004.17,590.32,212.73,2201.12
PC-2024-06-0187,PAY-2024-0084,staff-professional-services-3,2024-06,2024-06 2nd half,2024-06-30,3004.16,590.32,212.73,2201.11
PC-2024-07-0188,PAY-2024-0085,staff-professional-services-3,2024-07,2024-07 1st half,2024-07-15,3004.17,590.32,212.73,2201.12
PC-2024-07-0189,PAY-2024-0086,staff-professional-services-3,2024-07,2024-07 2nd half,2024-07-31,3004.16,590.32,212.73,2201.11
PC-2024-08-0190,PAY-2024-0087,staff-professional-services-3,2024-08,2024-08 1st half,2024-08-15,3004.17,590.32,212.73,2201.12
PC-2024-08-0191,PAY-2024-0088,staff-professional-services-3,2024-08,2024-08 2nd half,2024-08-31,3004.16,590.32,212.73,2201.11
PC-2024-09-0192,PAY-2024-0089,staff-professional-services-3,2024-09,2024-09 1st half,2024-09-15,3004.17,590.32,212.73,2201.12
PC-2024-09-0193,PAY-2024-0090,staff-professional-services-3,2024-09,2024-09 2nd half,2024-09-30,3004.16,590.32,212.73,2201.11
PC-2024-10-0194,PAY-2024-0091,staff-professional-services-3,2024-10,2024-10 1st half,2024-10-15,3004.17,590.32,212.73,2201.12
